Mã Tài Sản,Tên Thiết Bị,Danh Mục,Model/Kích Thước,Số Serial/Mã Lô,Phòng Ban,Vị Trí,Người Quản Lý,Trạng Thái,Nguyên Giá (VNĐ),Ngày Mua,Ghi Chú
AST-00260,Máy Điều Hòa Âm Trần Daikin 36000BTU #260,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-74021,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 51,Hoàng Văn Thái,LOANED,37997760,2026-01-09,Tài sản mẫu kiểm thử số 260
AST-00261,Ghế Xoay Lưới Công Trình Ergonomic #261,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-60901,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 27,Nguyễn Văn Hùng,ACTIVE,1840210,2026-01-10,Tài sản mẫu kiểm thử số 261
AST-00262,Máy In Tem Nhãn QR Code Thermal #262,Thiết Bị IT,Xprinter XP-420B,SN-2026-59478,DEPT-IT,Tầng 4 - Phòng IT - Ô 39,Phạm Thị Lan,ACTIVE,2781220,2026-01-11,Tài sản mẫu kiểm thử số 262
AST-00263,Máy Điều Hòa Âm Trần Daikin 36000BTU #263,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-65782,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 8,Nguyễn Văn Hùng,REPAIR,38038090,2026-01-12,Tài sản mẫu kiểm thử số 263
AST-00264,Xe Nâng Điện Toyota 2.5 Tấn #264,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-33855,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 47,Trần Văn Nam,REPAIR,420007020,2026-01-13,Tài sản mẫu kiểm thử số 264
AST-00265,Bộ Máy Hàn TIG Điện Tử 250A #265,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-50374,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 50,Lê Vũ Tường,ACTIVE,12507730,2026-01-14,Tài sản mẫu kiểm thử số 265
AST-00266,Laptop Dell Latitude 5440 i7 #266,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-44075,DEPT-IT,Tầng 4 - Phòng IT - Ô 35,Hoàng Văn Thái,SPARE,22473600,2026-01-15,Tài sản mẫu kiểm thử số 266
AST-00267,Pallet Nhựa 2 Mặt Tải Trọng Nặng #267,Pallet Nhựa,1200x1200x160mm,SN-2026-19189,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 51,Trần Văn Nam,ACTIVE,658370,2026-01-16,Tài sản mẫu kiểm thử số 267
AST-00268,Bộ Máy Hàn TIG Điện Tử 250A #268,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-37558,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 92,Nguyễn Văn Hùng,ACTIVE,12503490,2026-01-17,Tài sản mẫu kiểm thử số 268
AST-00269,Laptop Dell Latitude 5440 i7 #269,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-64156,DEPT-IT,Tầng 4 - Phòng IT - Ô 66,Nguyễn Văn Hùng,SPARE,22537420,2026-01-18,Tài sản mẫu kiểm thử số 269
AST-00270,Máy In Tem Nhãn QR Code Thermal #270,Thiết Bị IT,Xprinter XP-420B,SN-2026-50301,DEPT-IT,Tầng 4 - Phòng IT - Ô 15,Phạm Minh Đức,ACTIVE,2773980,2026-01-19,Tài sản mẫu kiểm thử số 270
AST-00271,Pallet Gỗ Thông Xuất Khẩu Euro #271,Pallet Gỗ,1200x800x144mm,SN-2026-32816,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 36,Trần Văn Nam,REPAIR,215620,2026-01-20,Tài sản mẫu kiểm thử số 271
AST-00272,Máy Điều Hòa Âm Trần Daikin 36000BTU #272,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-46066,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 45,Trần Văn Nam,SPARE,38038450,2026-01-21,Tài sản mẫu kiểm thử số 272
AST-00273,Pallet Nhựa Đen 1200x1000mm #273,Pallet Nhựa,1200x1000x150mm,SN-2026-51867,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 9,Trần Văn Nam,ACTIVE,452900,2026-01-22,Tài sản mẫu kiểm thử số 273
AST-00274,Pallet Gỗ Thông Xuất Khẩu Euro #274,Pallet Gỗ,1200x800x144mm,SN-2026-69064,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 11,Phạm Thị Lan,ACTIVE,258460,2026-01-23,Tài sản mẫu kiểm thử số 274
AST-00275,Bộ Máy Hàn TIG Điện Tử 250A #275,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-68084,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 28,Hoàng Văn Thái,LOANED,12526160,2026-01-24,Tài sản mẫu kiểm thử số 275
AST-00276,Máy In Tem Nhãn QR Code Thermal #276,Thiết Bị IT,Xprinter XP-420B,SN-2026-56012,DEPT-IT,Tầng 4 - Phòng IT - Ô 54,Trần Văn Nam,ACTIVE,2751870,2026-01-25,Tài sản mẫu kiểm thử số 276
AST-00277,Bộ Máy Hàn TIG Điện Tử 250A #277,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-10361,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 24,Nguyễn Thị Hoa,ACTIVE,12475400,2026-01-26,Tài sản mẫu kiểm thử số 277
AST-00278,Ghế Xoay Lưới Công Trình Ergonomic #278,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-71666,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 10,Nguyễn Văn Hùng,LOANED,1828840,2026-01-27,Tài sản mẫu kiểm thử số 278
AST-00279,Máy In Tem Nhãn QR Code Thermal #279,Thiết Bị IT,Xprinter XP-420B,SN-2026-91015,DEPT-IT,Tầng 4 - Phòng IT - Ô 92,Hoàng Văn Thái,SPARE,2833650,2026-01-28,Tài sản mẫu kiểm thử số 279
AST-00280,Màn Hình Dell UltraSharp 27 inch 4K #280,Thiết Bị IT,U2723QE,SN-2026-21219,DEPT-IT,Tầng 4 - Phòng IT - Ô 7,Phạm Minh Đức,ACTIVE,12756540,2026-01-01,Tài sản mẫu kiểm thử số 280
AST-00281,Máy Nén Khí Piston 15HP #281,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-35927,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 52,Trần Văn Nam,ACTIVE,34993340,2026-01-02,Tài sản mẫu kiểm thử số 281
AST-00282,Xe Nâng Điện Toyota 2.5 Tấn #282,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-81974,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 8,Phạm Minh Đức,REPAIR,420011170,2026-01-03,Tài sản mẫu kiểm thử số 282
AST-00283,Máy Nén Khí Piston 15HP #283,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-66661,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 92,Trần Văn Nam,LOANED,35006640,2026-01-04,Tài sản mẫu kiểm thử số 283
AST-00284,Laptop Dell Latitude 5440 i7 #284,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-69578,DEPT-IT,Tầng 4 - Phòng IT - Ô 19,Phạm Minh Đức,ACTIVE,22453610,2026-01-05,Tài sản mẫu kiểm thử số 284
AST-00285,Bộ Máy Hàn TIG Điện Tử 250A #285,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-15533,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 12,Phạm Thị Lan,REPAIR,12541190,2026-01-06,Tài sản mẫu kiểm thử số 285
AST-00286,Máy Điều Hòa Âm Trần Daikin 36000BTU #286,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-71897,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 64,Lê Vũ Tường,ACTIVE,38004230,2026-01-07,Tài sản mẫu kiểm thử số 286
AST-00287,Pallet Nhựa 2 Mặt Tải Trọng Nặng #287,Pallet Nhựa,1200x1200x160mm,SN-2026-69734,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 76,Hoàng Văn Thái,REPAIR,637190,2026-01-08,Tài sản mẫu kiểm thử số 287
AST-00288,Laptop Dell Latitude 5440 i7 #288,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-24740,DEPT-IT,Tầng 4 - Phòng IT - Ô 86,Phạm Thị Lan,ACTIVE,22514580,2026-01-09,Tài sản mẫu kiểm thử số 288
AST-00289,Pallet Nhựa Đen 1200x1000mm #289,Pallet Nhựa,1200x1000x150mm,SN-2026-73503,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 21,Phạm Thị Lan,ACTIVE,415350,2026-01-10,Tài sản mẫu kiểm thử số 289
AST-00290,Màn Hình Dell UltraSharp 27 inch 4K #290,Thiết Bị IT,U2723QE,SN-2026-72979,DEPT-IT,Tầng 4 - Phòng IT - Ô 14,Trần Văn Nam,ACTIVE,12841330,2026-01-11,Tài sản mẫu kiểm thử số 290
AST-00291,Pallet Nhựa Đen 1200x1000mm #291,Pallet Nhựa,1200x1000x150mm,SN-2026-53506,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 49,Phạm Thị Lan,ACTIVE,449080,2026-01-12,Tài sản mẫu kiểm thử số 291
AST-00292,Máy Điều Hòa Âm Trần Daikin 36000BTU #292,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-66635,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 79,Phạm Thị Lan,LOANED,37970210,2026-01-13,Tài sản mẫu kiểm thử số 292
AST-00293,Máy Nén Khí Piston 15HP #293,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-43804,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 30,Lê Vũ Tường,ACTIVE,34987440,2026-01-14,Tài sản mẫu kiểm thử số 293
AST-00294,Pallet Nhựa Đen 1200x1000mm #294,Pallet Nhựa,1200x1000x150mm,SN-2026-55760,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 8,Phạm Minh Đức,ACTIVE,443080,2026-01-15,Tài sản mẫu kiểm thử số 294
AST-00295,Pallet Nhựa Đen 1200x1000mm #295,Pallet Nhựa,1200x1000x150mm,SN-2026-14519,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 74,Lê Vũ Tường,ACTIVE,435840,2026-01-16,Tài sản mẫu kiểm thử số 295
AST-00296,Laptop Dell Latitude 5440 i7 #296,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-70341,DEPT-IT,Tầng 4 - Phòng IT - Ô 70,Phạm Thị Lan,REPAIR,22460760,2026-01-17,Tài sản mẫu kiểm thử số 296
AST-00297,Xe Nâng Điện Toyota 2.5 Tấn #297,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-51439,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 86,Phạm Thị Lan,ACTIVE,419999850,2026-01-18,Tài sản mẫu kiểm thử số 297
AST-00298,Màn Hình Dell UltraSharp 27 inch 4K #298,Thiết Bị IT,U2723QE,SN-2026-13169,DEPT-IT,Tầng 4 - Phòng IT - Ô 2,Phạm Thị Lan,ACTIVE,12824840,2026-01-19,Tài sản mẫu kiểm thử số 298
AST-00299,Ghế Xoay Lưới Công Trình Ergonomic #299,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-93041,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 60,Nguyễn Văn Hùng,ACTIVE,1823290,2026-01-20,Tài sản mẫu kiểm thử số 299
AST-00300,Bộ Máy Hàn TIG Điện Tử 250A #300,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-39181,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 21,Phạm Thị Lan,REPAIR,12490170,2026-01-21,Tài sản mẫu kiểm thử số 300
AST-00301,Pallet Nhựa Xanh Lót Sàn #301,Pallet Nhựa,1100x1100x120mm,SN-2026-50237,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 23,Trần Văn Nam,ACTIVE,390530,2026-01-22,Tài sản mẫu kiểm thử số 301
AST-00302,Máy Điều Hòa Âm Trần Daikin 36000BTU #302,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-90297,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 5,Nguyễn Thị Hoa,ACTIVE,37966320,2026-01-23,Tài sản mẫu kiểm thử số 302
AST-00303,Màn Hình Dell UltraSharp 27 inch 4K #303,Thiết Bị IT,U2723QE,SN-2026-11752,DEPT-IT,Tầng 4 - Phòng IT - Ô 5,Nguyễn Thị Hoa,ACTIVE,12750450,2026-01-24,Tài sản mẫu kiểm thử số 303
AST-00304,Máy Nén Khí Piston 15HP #304,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-28161,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 29,Phạm Minh Đức,ACTIVE,35038850,2026-01-25,Tài sản mẫu kiểm thử số 304
AST-00305,Pallet Nhựa 2 Mặt Tải Trọng Nặng #305,Pallet Nhựa,1200x1200x160mm,SN-2026-51519,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 39,Lê Vũ Tường,SPARE,640490,2026-01-26,Tài sản mẫu kiểm thử số 305
AST-00306,Pallet Nhựa Đen 1200x1000mm #306,Pallet Nhựa,1200x1000x150mm,SN-2026-29756,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 84,Phạm Minh Đức,LOANED,449640,2026-01-27,Tài sản mẫu kiểm thử số 306
AST-00307,Pallet Nhựa 2 Mặt Tải Trọng Nặng #307,Pallet Nhựa,1200x1200x160mm,SN-2026-38264,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 56,Phạm Minh Đức,REPAIR,628350,2026-01-28,Tài sản mẫu kiểm thử số 307
AST-00308,Pallet Nhựa Đen 1200x1000mm #308,Pallet Nhựa,1200x1000x150mm,SN-2026-42284,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 47,Nguyễn Văn Hùng,REPAIR,414160,2026-01-01,Tài sản mẫu kiểm thử số 308
AST-00309,Máy Nén Khí Piston 15HP #309,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-48830,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 9,Nguyễn Văn Hùng,ACTIVE,35023570,2026-01-02,Tài sản mẫu kiểm thử số 309
AST-00310,Pallet Nhựa 2 Mặt Tải Trọng Nặng #310,Pallet Nhựa,1200x1200x160mm,SN-2026-33389,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 36,Nguyễn Văn Hùng,LOANED,662650,2026-01-03,Tài sản mẫu kiểm thử số 310
AST-00311,Máy Điều Hòa Âm Trần Daikin 36000BTU #311,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-64153,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 33,Trần Văn Nam,REPAIR,37995460,2026-01-04,Tài sản mẫu kiểm thử số 311
AST-00312,Pallet Nhựa Đen 1200x1000mm #312,Pallet Nhựa,1200x1000x150mm,SN-2026-44475,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 51,Phạm Minh Đức,SPARE,438800,2026-01-05,Tài sản mẫu kiểm thử số 312
AST-00313,Pallet Nhựa 2 Mặt Tải Trọng Nặng #313,Pallet Nhựa,1200x1200x160mm,SN-2026-17035,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 8,Lê Vũ Tường,ACTIVE,669180,2026-01-06,Tài sản mẫu kiểm thử số 313
AST-00314,Pallet Nhựa Đen 1200x1000mm #314,Pallet Nhựa,1200x1000x150mm,SN-2026-45314,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 74,Lê Vũ Tường,ACTIVE,466170,2026-01-07,Tài sản mẫu kiểm thử số 314
AST-00315,Máy In Tem Nhãn QR Code Thermal #315,Thiết Bị IT,Xprinter XP-420B,SN-2026-43653,DEPT-IT,Tầng 4 - Phòng IT - Ô 98,Lê Vũ Tường,ACTIVE,2836420,2026-01-08,Tài sản mẫu kiểm thử số 315
AST-00316,Bộ Máy Hàn TIG Điện Tử 250A #316,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-99722,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 42,Phạm Thị Lan,ACTIVE,12532910,2026-01-09,Tài sản mẫu kiểm thử số 316
AST-00317,Ghế Xoay Lưới Công Trình Ergonomic #317,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-28582,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 74,Trần Văn Nam,ACTIVE,1897320,2026-01-10,Tài sản mẫu kiểm thử số 317
AST-00318,Máy Nén Khí Piston 15HP #318,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-60404,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 88,Phạm Thị Lan,REPAIR,35022750,2026-01-11,Tài sản mẫu kiểm thử số 318
AST-00319,Màn Hình Dell UltraSharp 27 inch 4K #319,Thiết Bị IT,U2723QE,SN-2026-10588,DEPT-IT,Tầng 4 - Phòng IT - Ô 53,Phạm Minh Đức,LOANED,12824100,2026-01-12,Tài sản mẫu kiểm thử số 319
AST-00320,Máy Điều Hòa Âm Trần Daikin 36000BTU #320,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-87643,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 62,Lê Vũ Tường,ACTIVE,37979820,2026-01-13,Tài sản mẫu kiểm thử số 320
AST-00321,Máy Nén Khí Piston 15HP #321,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-28986,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 52,Phạm Thị Lan,ACTIVE,34950030,2026-01-14,Tài sản mẫu kiểm thử số 321
AST-00322,Bộ Máy Hàn TIG Điện Tử 250A #322,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-49057,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 12,Nguyễn Thị Hoa,SPARE,12484940,2026-01-15,Tài sản mẫu kiểm thử số 322
AST-00323,Máy Nén Khí Piston 15HP #323,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-37938,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 68,Lê Vũ Tường,LOANED,35001750,2026-01-16,Tài sản mẫu kiểm thử số 323
AST-00324,Pallet Nhựa Đen 1200x1000mm #324,Pallet Nhựa,1200x1000x150mm,SN-2026-22745,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 72,Trần Văn Nam,ACTIVE,487380,2026-01-17,Tài sản mẫu kiểm thử số 324
AST-00325,Máy In Tem Nhãn QR Code Thermal #325,Thiết Bị IT,Xprinter XP-420B,SN-2026-94297,DEPT-IT,Tầng 4 - Phòng IT - Ô 54,Nguyễn Thị Hoa,ACTIVE,2784740,2026-01-18,Tài sản mẫu kiểm thử số 325
AST-00326,Máy Điều Hòa Âm Trần Daikin 36000BTU #326,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-77271,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 36,Trần Văn Nam,ACTIVE,38020800,2026-01-19,Tài sản mẫu kiểm thử số 326
AST-00327,Pallet Gỗ Thông Xuất Khẩu Euro #327,Pallet Gỗ,1200x800x144mm,SN-2026-61591,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 31,Lê Vũ Tường,ACTIVE,273440,2026-01-20,Tài sản mẫu kiểm thử số 327
AST-00328,Ghế Xoay Lưới Công Trình Ergonomic #328,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-51832,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 94,Nguyễn Thị Hoa,ACTIVE,1807420,2026-01-21,Tài sản mẫu kiểm thử số 328
AST-00329,Ghế Xoay Lưới Công Trình Ergonomic #329,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-90127,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 66,Phạm Thị Lan,ACTIVE,1819800,2026-01-22,Tài sản mẫu kiểm thử số 329
AST-00330,Máy Nén Khí Piston 15HP #330,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-70687,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 82,Phạm Thị Lan,LOANED,35008630,2026-01-23,Tài sản mẫu kiểm thử số 330
AST-00331,Laptop Dell Latitude 5440 i7 #331,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-45937,DEPT-IT,Tầng 4 - Phòng IT - Ô 12,Nguyễn Văn Hùng,ACTIVE,22466580,2026-01-24,Tài sản mẫu kiểm thử số 331
AST-00332,Pallet Nhựa Xanh Lót Sàn #332,Pallet Nhựa,1100x1100x120mm,SN-2026-63946,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 6,Phạm Thị Lan,REPAIR,349490,2026-01-25,Tài sản mẫu kiểm thử số 332
AST-00333,Xe Nâng Điện Toyota 2.5 Tấn #333,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-79372,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 49,Nguyễn Thị Hoa,REPAIR,420049120,2026-01-26,Tài sản mẫu kiểm thử số 333
AST-00334,Máy Điều Hòa Âm Trần Daikin 36000BTU #334,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-46738,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 30,Hoàng Văn Thái,SPARE,38034470,2026-01-27,Tài sản mẫu kiểm thử số 334
AST-00335,Xe Nâng Điện Toyota 2.5 Tấn #335,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-80466,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 6,Hoàng Văn Thái,ACTIVE,419987980,2026-01-28,Tài sản mẫu kiểm thử số 335
AST-00336,Pallet Nhựa Đen 1200x1000mm #336,Pallet Nhựa,1200x1000x150mm,SN-2026-55494,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 5,Trần Văn Nam,ACTIVE,417570,2026-01-01,Tài sản mẫu kiểm thử số 336
AST-00337,Laptop Dell Latitude 5440 i7 #337,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-66438,DEPT-IT,Tầng 4 - Phòng IT - Ô 4,Lê Vũ Tường,ACTIVE,22489170,2026-01-02,Tài sản mẫu kiểm thử số 337
AST-00338,Pallet Nhựa 2 Mặt Tải Trọng Nặng #338,Pallet Nhựa,1200x1200x160mm,SN-2026-49914,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 90,Lê Vũ Tường,SPARE,659370,2026-01-03,Tài sản mẫu kiểm thử số 338
AST-00339,Bộ Máy Hàn TIG Điện Tử 250A #339,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-61156,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 29,Phạm Thị Lan,SPARE,12542490,2026-01-04,Tài sản mẫu kiểm thử số 339
AST-00340,Bộ Máy Hàn TIG Điện Tử 250A #340,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-93790,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 51,Nguyễn Văn Hùng,REPAIR,12502140,2026-01-05,Tài sản mẫu kiểm thử số 340
AST-00341,Ghế Xoay Lưới Công Trình Ergonomic #341,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-27474,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 69,Hoàng Văn Thái,SPARE,1828110,2026-01-06,Tài sản mẫu kiểm thử số 341
AST-00342,Xe Nâng Điện Toyota 2.5 Tấn #342,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-30798,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 48,Lê Vũ Tường,ACTIVE,420018390,2026-01-07,Tài sản mẫu kiểm thử số 342
AST-00343,Xe Nâng Điện Toyota 2.5 Tấn #343,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-23860,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 20,Nguyễn Thị Hoa,ACTIVE,419950490,2026-01-08,Tài sản mẫu kiểm thử số 343
AST-00344,Màn Hình Dell UltraSharp 27 inch 4K #344,Thiết Bị IT,U2723QE,SN-2026-74218,DEPT-IT,Tầng 4 - Phòng IT - Ô 43,Phạm Thị Lan,ACTIVE,12826230,2026-01-09,Tài sản mẫu kiểm thử số 344
AST-00345,Bộ Máy Hàn TIG Điện Tử 250A #345,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-49100,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 76,Hoàng Văn Thái,ACTIVE,12494720,2026-01-10,Tài sản mẫu kiểm thử số 345
AST-00346,Ghế Xoay Lưới Công Trình Ergonomic #346,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-23238,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 19,Lê Vũ Tường,LOANED,1865190,2026-01-11,Tài sản mẫu kiểm thử số 346
AST-00347,Pallet Nhựa 2 Mặt Tải Trọng Nặng #347,Pallet Nhựa,1200x1200x160mm,SN-2026-40373,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 67,Trần Văn Nam,ACTIVE,613450,2026-01-12,Tài sản mẫu kiểm thử số 347
AST-00348,Pallet Nhựa 2 Mặt Tải Trọng Nặng #348,Pallet Nhựa,1200x1200x160mm,SN-2026-12655,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 6,Nguyễn Văn Hùng,ACTIVE,585460,2026-01-13,Tài sản mẫu kiểm thử số 348
AST-00349,Máy In Tem Nhãn QR Code Thermal #349,Thiết Bị IT,Xprinter XP-420B,SN-2026-45168,DEPT-IT,Tầng 4 - Phòng IT - Ô 61,Nguyễn Văn Hùng,ACTIVE,2842200,2026-01-14,Tài sản mẫu kiểm thử số 349
AST-00350,Xe Nâng Điện Toyota 2.5 Tấn #350,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-40373,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 41,Hoàng Văn Thái,LOANED,419977640,2026-01-15,Tài sản mẫu kiểm thử số 350
AST-00351,Ghế Xoay Lưới Công Trình Ergonomic #351,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-10326,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 89,Nguyễn Văn Hùng,ACTIVE,1883780,2026-01-16,Tài sản mẫu kiểm thử số 351
AST-00352,Xe Nâng Điện Toyota 2.5 Tấn #352,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-54060,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 84,Phạm Minh Đức,ACTIVE,420045380,2026-01-17,Tài sản mẫu kiểm thử số 352
AST-00353,Pallet Nhựa Xanh Lót Sàn #353,Pallet Nhựa,1100x1100x120mm,SN-2026-81241,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 41,Nguyễn Thị Hoa,ACTIVE,335460,2026-01-18,Tài sản mẫu kiểm thử số 353
